ลำดับที่,วันที่ประเมิน,ชื่อหอพัก,โซน,มาตรฐานที่ต้องมี,มาตรฐานเพิ่มเติม,ผลการประเมิน,หมายเหตุ,ละติจูด,ลองจิจูด,ราคาหอพัก,ค่าน้ำ/ต่อหน่วย/เหมาจ่าย,ค่าไฟ/ต่อหน่วย,ค่ามัดจำ,สัญญาขั้นต่ำ,หอพักชาย / หอพักหญิง / หอพักรวม,ห้องพัดลม / ห้องแอร์,เครื่องทำน้ำอุ่น,ตู้เย็น,ตู้เสื้อผ้า,เตียง,โต๊ะเขียนหนังสือ,Wi-Fi ฟรี,ลิฟต์,ส่วนกลาง,เครื่องซักผ้าหยอดเหรียญ,ที่จอดรถยนต์/มอเตอร์,คีย์การ์ด,กล้อง CCTV,รปภ.,เบอร์โทรศัพท์ติดต่อ,Line ID,Facebook ,การเลี้ยงสัตว์,การประกอบอาหาร,เวลาเปิด–ปิดประตูหอ,อยู่ใกล้ถนนใหญ่,ร้านเหล้า,เงียบสงบ / ปานกลาง / พลุกพล่าน),7-Eleven,Lotus's go fresh,Big c mini,ตลาดบังเอิญ,ร้านอาหารศูนย์อาหารมีเจริญ,อยู่ในพื้นที่ลุ่มต่ำหรือมีความเสี่ยงน้ำท่วมขังช่วงหน้าฝนหรือไม่
11,5-พ.ค.-69,หอพักรักดีเพลส 1,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.113333,104.912752,1800-3500,150 เหมาจ่าย,8,"2,000 – 3,000 ",6 เดือน,หอพักรวม,ห้องแอร์/พัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,081-790-7070,081-790-7070,หอพักรักดีเพลส ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,4.9 กิโลเมตร,5 กิโลเมตร,1.3 กิโลเมตร,2.8 กิโลเมตร,3.2 กิโลเมตร,ไม่เสี่ยง
12,5-พ.ค.-69,หอพักรักดีเพลส 2,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.111352,104.911644,1800-3500,150 เหมาจ่าย,8,"2,000 – 3,000",6 เดือน,หอพักรวม,ห้องแอร์/พัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,086-458-4541,086-458-4541,หอพักรักดีเพลส ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,4.9 กิโลเมตร,5 กิโลเมตร,1.3 กิโลเมตร,2.8 กิโลเมตร,3.2 กิโลเมตร,ไม่เสี่ยง
13,5-พ.ค.-69,หอพักเขมชาติ,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.111963,104.910298,1500-3300,20,8,3000,6 เดือน,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,083-740-2885,ไม่มีข้อมูล,หอพักเขมชาติ,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,2.3 กิโลเมตร,4.7 กิโลเมตร,900 เมตร,2.4 กิโลเมตร,2.8 กิโลเมตร,ไม่เสี่ยง
14,5-พ.ค.-69,หอพักขวัญฤดี,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.11013,104.911304,"2,500 - 3,500 ",20,8,"2,500 - 3,500 ",1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,093-356-5337,093-356-5337,หอพักขวัญฤดี ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,2.4 กิโลเมตร,4.7 กิโลเมตร,950 เมตร,2.5 กิโลเมตร,2.9 กิโลเมตร,ไม่เสี่ยง
15,5-พ.ค.-69,หอพักพีระนุชเพลส,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.110239,104.905467,"2,800 - 3,200",150 เหมาจ่าย,8,3000,6 เดือน,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,093-061-399,093-061-399,พีระนุช เพลส,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,1.7 กิโลเมตร,4.1 กิโลเมตร,300 เมตร,1.8 กิโลเมตร,2.2 กิโลเมตร,ไม่เสี่ยง
16,5-พ.ค.-69,หอพักพรอนันต์,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.109169,104.904671,"3,000 - 3,200",100,8,3000,6 เดือน,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,080-725-3329 ,097-173-6868,หอพักหญิง พรอนันต์,ไม่ได้,ได้,05.00-22.00 น.,อยู่ทางรอง,ไกล,เงียบสงบ,1.4 กิโลเมตร,3.8 กิโลเมตร,30 เมตร,1.5 กิโลเมตร,1.9 กิโลเมตร,ไม่เสี่ยง
17,5-พ.ค.-69,หอพักสุขฤทัย,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.108494,104.904042,1200,100,8,1000,6 เดือน,หอพักรวม,พัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,098-884-8052,098-884-8052,หอพักสุขฤทัย,ไม่ได้,ได้,05.00-22.00 น.,อยู่ทางรอง,ไกล,เงียบสงบ,800 เมตร,1.6 กิโลเมตร,20 เมตร,1.6 กิโลเมตร,2 กิโลเมตร,ไม่เสี่ยง
18,5-พ.ค.-69,หอพักโฮมมี่เพลส,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.109851,104.907742,4000,150 เหมาจ่าย,8,4000,6 เดือน,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,095-7735387,https://line.me/ti/p/HF36qgvbez,โฮมมี่เพลส ห้องพักรายเดือนม.อุบลฯ,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,1.9 กิโลเมตร,4.2 กิโลเมตร,450 เมตร,1.9 กิโลเมตร,2.3 กิโลเมตร,ไม่เสี่ยง
19,5-พ.ค.-69,หอพักพรทิพย์,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.108887,104.901925,3300,19,8,3500,1 ปี,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,100,ไม่มี,50,มี,มี,ไม่มี,มี,ไม่มี,082-366-9409,082-366-9409,หอพักพรทิพย์,ไม่ได้,ได้,05.00-22.00 น.,อยู่ทางรอง,ไกล,เงียบสงบ,1.2 กิโลเมตร,3.5 กิโลเมตร,270 เมตร,1.3 กิโลเมตร,1.7 กิโลเมตร,ไม่เสี่ยง
20,5-พ.ค.-69,หอพักพงษ์พร 1,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.109654,104.907482,2500-3000,150 เหมาจ่าย,8,2500-3000,1 ปี,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,086-868-5706,086-868-5706,หอพักหญิงพงษ์พร,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,1.8 กิโลเมตร,4.1 กิโลเมตร,400 เมตร,1.9 กิโลเมตร,2.3 กิโลเมตร,ไม่เสี่ยง
21,5-พ.ค.-69,หอพักพงษ์พร 2,"โซนบ้านแมด, บ้านศรีไคออก",ครบ,ครบ,ผ่าน,,15.109654,104.907482,3800,150 เหมาจ่าย,8,3800,1 ปี,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,092-659-4925 ,best_by,หอพักพงษ์พร หอพักม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,1.8 กิโลเมตร,4.1 กิโลเมตร,400 เมตร,1.9 กิโลเมตร,2.3 กิโลเมตร,ไม่เสี่ยง
22,5-พ.ค.-69,หอพักษมาพร,"โซนบ้านทั้งมั่ง, บ้านคำลือชา",ครบ,ครบ,ผ่าน,,15.117686,104.920077,"1,500 - 3,000",100,7,"1,500 - 3,000",1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,081-441-3950,081-441-3950,หอพักษมาพร,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,3.7 กิโลเมตร,6 กิโลเมตร,2.6 กิโลเมตร,3.8 กิโลเมตร,4.2 กิโลเมตร,ไม่เสี่ยง
23,5-พ.ค.-69,หอพักสวนคุณย่าลูลี่ (LULEY HO),"โซนบ้านทั้งมั่ง, บ้านคำลือชา",ครบ,ครบ,ผ่าน,,15.114584,104.896985,"2,000 - 3,500",100,8,"2,000 - 3,500",1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,098-258-3420,098-258-3420,สวนคุณย่า ลูลี่ รีสอร์ท บ้านคำล่อ - Home,ไม่ได้,ได้,05.00-22.00 น.,อยู่ซอยรอง,ไกล,ปานกลาง,350 เมตร,2.7 กิโลเมตร,1.8 กิโลเมตร,270 เมตร,850 เมตร,ไม่เสี่ยง
24,6-พ.ค.-69,หอพักใบตังแมนชั้น,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.110055,104.899853,"2,000 - 2,500",150 เหมาจ่าย,8,"2,000.00 - 2,500.00",1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,095-751-5907,095-751-5907,ใบตังแมนชั่น,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,ปานกลาง,850 เมตร,3.2 กิโลเมตร,1.5 กิโลเมตร,750 เมตร,1.4 กิโลเมตร,ไม่เสี่ยง
25,6-พ.ค.-69,หอพักบัณฑิต,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.109879,104.899105,2500-3500,150 เหมาจ่าย,8,4600,6 เดือน,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,ไม่มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,096-260-2172,096-260-2172,หอพักบัณฑิต,ได้,ได้,05.00-22.00 น.,อยู่ทางรอง,ไกล,เงียบสงบ,1 กิโลเมตร,3.3 กิโลเมตร,1.6 กิโลเมตร,1.1 กิโลเมตร,1.4 กิโลเมตร,ไม่เสี่ยง
26,6-พ.ค.-69,หอพักชมจันทร์ลอป,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,"15.110400, ",104.898526,5500,100,8,550,1 ปี,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,150,มี,มี,มี,มี,ไม่มี,080-476-4579,080-476-4579,หอพักชมจันทร์ลอฟท์,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,650 เมตร,3 กิโลเมตร,2.1 กิโลเมตร,600 เมตร,1.2 กิโลเมตร,เสี่ยงปานกลาง
27,6-พ.ค.-69,หอพักไอเวอรี่,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.112554,104.896208,3300,150,8,3300,1 ปี,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,099-470-4333,099-470-4333,หอพัก ไอเวอรี่ อุบลราชธานี,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,650 เมตร,3 กิโลเมตร,2.1 กิโลเมตร,600 เมตร,1.2 กิโลเมตร,เสี่ยงปานกลาง
28,6-พ.ค.-69,หอพักบัณฑิตแมนชั่น,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.113722,104.895312,2300-3000,100,8,2300-3000,1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,ไม่มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,ไม่มี,086-994-4964,086-994-4964,บัณฑิตแมนชั่น ใกล้ม.อุบล วิทยาลัยการสาธารณสุขสิริธร ปั้มน้ำมันปตท.,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,550 เมตร,2.9 กิโลเมตร,2 กิโลเมตร,500 เมตร,1.1 กิโลเมตร,ไม่เสี่ยง
29,6-พ.ค.-69,หอพักสวัสดีอาพาร์ตเม้น,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.113753,104.89586,1800,150 เหมาจ่าย,8,2000,1 ปี,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,081-967-73004,081-967-73004,สวัสดีอพาร์ทเม้นต์ ใกล้ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,500 เมตร,2.9 กิโลเมตร,1.9 กิโลเมตร,450 เมตร,1 กิโลเมตร,เสี่ยงปานกลาง
30,6-พ.ค.-69,หอพักวนาสน,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.114653,104.897985,2700,150 เหมาจ่าย,8,3000,1 ปี,หอหญิง,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,081-075-7137,081-075-7137,หอพักหญิงวนาสน,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,300 เมตร,2.7 กิโลเมตร,1.4 กิโลเมตร,250 เมตร,850 เมตร,เสี่ยง
31,6-พ.ค.-69,หอพักหญิงธารารัตน์,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.114185,104.898486,2200,150 เหมาจ่าย,8,2300,1 ปี,หอหญิง,พัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,080-473-2661,080-473-2661,หอพักหญิง ธารารัตน์ ใกล้ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,350 เมตร,2.6 กิโลเมตร,1.5 กิโลเมตร,300 เมตร,900 เมตร,เสี่ยง
32,6-พ.ค.-69,หอพักดอกไม้เพลส,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.111273,104.898672,2000-2700,150 เหมาจ่าย,8,3000,1 ปี,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,045-424-4539,045-424-4539,หอพักหญิงดอกไม้เพลส,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,800 เมตร,3.1 กิโลเมตร,1.5 กิโลเมตร,750 เมตร,1.3 กิโลเมตร,ไม่เสี่ยง
33,6-พ.ค.-69,หอพักสันติสุขแมนชั่น,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.112129,104.900073,2500,100,7,2000,1 ปี,หอพักรวม,ห้องแอร์,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,086-660-0436,086-660-0436,สันติสุข แมนชั่น ใกล้ม.อุบล,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,550 เมตร,2.9 กิโลเมตร,1.5 กิโลเมตร,550 เมตร,1.3 กิโลเมตร,ไม่เสี่ยง
34,6-พ.ค.-69,หอพักพนิตรวี,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.117667,104.898793,2000,150 เหมาจ่าย,8,3000,1 ปี,หอพักรวม,พัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,086-583-1703,086-583-1703,หอพักพนิตรวี,ไม่ได้,ได้,05.00-22.00 น.,อยู่ในซอย,ไกล,เงียบสงบ,900 เมตร,2.2 กิโลเมตร,1.5 กิโลเมตร,1 กิโลเมตร,400 เมตร,ไม่เสี่ยง
35,6-พ.ค.-69,หอพักเกตุสิริ,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.117655,104.898447,2500-3200,150 เหมาจ่าย,8,3000,1 ปี,หอพักรวม,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,ไม่มี,มี,ไม่มี,086-583-1703,086-583-1703,หอพักหญิงเกตุสิริ,ไม่ได้,ได้,05.00-22.00 น.,อยู่หน้าม.,ไกล,เงียบสงบ,950 เมตร,2.3 กิโลเมตร,1.6 กิโลเมตร,1 กิโลเมตร,400 เมตร,ไม่เสี่ยง
36,6-พ.ค.-69,หอพักดีจริงแมนชั่น 1,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.11795,104.898778,2600-3000,150 เหมาจ่าย,8,4000,1 ปี,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,082-195-5699,082-195-5699,หอพักหญิงดีจริงแมนชั่น 1,ไม่ได้,ได้,05.00-22.00 น.,อยู่หน้าม.,ไกล,ปานกลาง,400 เมตร,2.2 กิโลเมตร,1.5 กิโลเมตร,1 กิโลเมตร,400 เมตร,ไม่เสี่ยง
37,6-พ.ค.-69,หอพักดีจริงแมนชั่น 2,โซนบ้านศรีไคตก บ้านค้อ - แขม,ครบ,ครบ,ผ่าน,,15.117924,104.898522,2600-3000,150 เหมาจ่าย,8,1000,1 ปี,หอหญิง,ห้องแอร์/ห้องพัดลม,มี,มี,มี,มี,มี,มี,ไม่มี,ไม่มี,มี,มี,มี,มี,มี,082-195-5699,082-195-5699,หอพักหญิงดีจริงแมนชั่น 2,ไม่ได้,ได้,05.00-22.00 น.,อยู่หน้าม.,ไกล,ปานกลาง,400 เมตร,2.2 กิโลเมตร,1.5 กิโลเมตร,1 กิโลเมตร,400 เมตร,ไม่เสี่ยง
